Variable_name	Value
auto_increment_increment	4
auto_increment_offset	2
autocommit	ON
automatic_sp_privileges	ON
back_log	50
basedir	/usr/
big_tables	OFF
binlog_cache_size	32768
binlog_format	MIXED
bulk_insert_buffer_size	8388608
character_set_client	latin1
character_set_connection	latin1
character_set_database	latin1
character_set_filesystem	binary
character_set_results	latin1
character_set_server	latin1
character_set_system	utf8
character_sets_dir	/usr/share/mysql/charsets/
collation_connection	latin1_swedish_ci
collation_database	latin1_swedish_ci
collation_server	latin1_swedish_ci
completion_type	0
concurrent_insert	2
connect_timeout	10
datadir	/mnt/data-store/mysql/data/
date_format	%Y-%m-%d
datetime_format	%Y-%m-%d %H:%i:%s
default_week_format	0
delay_key_write	ON
delayed_insert_limit	100
delayed_insert_timeout	300
delayed_queue_size	1000
div_precision_increment	4
engine_condition_pushdown	ON
error_count	0
event_scheduler	OFF
expire_logs_days	3
flush	OFF
flush_time	0
foreign_key_checks	ON
ft_boolean_syntax	+ -><()~*:""&|
ft_max_word_len	84
ft_min_word_len	4
ft_query_expansion_limit	20
ft_stopword_file	(built-in)
general_log	OFF
general_log_file	/mnt/mysql/general.log
group_concat_max_len	1024
have_community_features	YES
have_compress	YES
have_crypt	YES
have_csv	YES
have_dynamic_loading	YES
have_geometry	YES
have_innodb	YES
have_ndbcluster	NO
have_openssl	DISABLED
have_partitioning	YES
have_query_cache	YES
have_rtree_keys	YES
have_ssl	DISABLED
have_symlink	YES
hostname	db1.production.company.com
identity	0
ignore_builtin_innodb	OFF
init_connect	
init_file	
init_slave	
innodb_adaptive_checkpoint	estimate
innodb_adaptive_flushing	OFF
innodb_adaptive_hash_index	OFF
innodb_additional_mem_pool_size	524288000
innodb_autoextend_increment	8
innodb_autoinc_lock_mode	0
innodb_buffer_pool_size	46170898432
innodb_change_buffering	inserts
innodb_checkpoint_age_target	0
innodb_checksums	ON
innodb_commit_concurrency	0
innodb_concurrency_tickets	500
innodb_data_file_path	ibdata1:10M:autoextend
innodb_data_home_dir	/mnt/data-store/mysql/data
innodb_dict_size_limit	0
innodb_doublewrite	ON
innodb_enable_unsafe_group_commit	0
innodb_expand_import	0
innodb_extra_rsegments	0
innodb_extra_undoslots	OFF
innodb_fast_recovery	ON
innodb_fast_shutdown	1
innodb_file_format	Antelope
innodb_file_format_check	Barracuda
innodb_file_per_table	ON
innodb_flush_log_at_trx_commit	2
innodb_flush_method	
innodb_flush_neighbor_pages	1
innodb_force_recovery	0
innodb_ibuf_accel_rate	100
innodb_ibuf_active_contract	1
innodb_ibuf_max_size	23085432832
innodb_io_capacity	200
innodb_lock_wait_timeout	50
innodb_locks_unsafe_for_binlog	OFF
innodb_log_buffer_size	10485760
innodb_log_file_size	2097152000
innodb_log_files_in_group	2
innodb_log_group_home_dir	/mnt/data-store/mysql/data
innodb_max_dirty_pages_pct	75
innodb_max_purge_lag	0
innodb_mirrored_log_groups	1
innodb_old_blocks_pct	37
innodb_old_blocks_time	0
innodb_open_files	300
innodb_overwrite_relay_log_info	OFF
innodb_read_ahead	linear
innodb_read_ahead_threshold	56
innodb_read_io_threads	4
innodb_recovery_stats	OFF
innodb_relax_table_creation	0
innodb_replication_delay	0
innodb_rollback_on_timeout	OFF
innodb_show_locks_held	10
innodb_show_verbose_locks	0
innodb_spin_wait_delay	6
innodb_stats_auto_update	1
innodb_stats_method	nulls_equal
innodb_stats_on_metadata	ON
innodb_stats_sample_pages	8
innodb_stats_update_need_lock	1
innodb_strict_mode	OFF
innodb_support_xa	OFF
innodb_sync_spin_loops	30
innodb_table_locks	ON
innodb_thread_concurrency	16
innodb_thread_concurrency_timer_based	OFF
innodb_thread_sleep_delay	10000
innodb_use_purge_thread	1
innodb_use_sys_malloc	ON
innodb_version	1.0.6-unknown
innodb_write_io_threads	4
insert_id	0
interactive_timeout	28800
join_buffer_size	131072
keep_files_on_create	OFF
key_buffer_size	157286400
key_cache_age_threshold	300
key_cache_block_size	1024
key_cache_division_limit	100
language	/usr/share/mysql/english/
large_files_support	ON
large_page_size	0
large_pages	OFF
last_insert_id	0
