# User: user[user] @ [1.2.3.4]
# Thread_id: 1 Schema: db
# Query_time: 0.000899 Lock_time: 0.000000 Rows_sent: 0 Rows_examined: 0
# No InnoDB statistics available for this query
SELECT 1 FROM foo;
# User: user[user] @ [1.2.3.4]
# Thread_id: 2 Schema: db
# Query_time: 0.000899 Lock_time: 0.000000 Rows_sent: 0 Rows_examined: 0
# No InnoDB statistics available for this query
SELECT 2 FROM foo;
# User: user[user] @ [1.2.3.4]
# Thread_id: 3 Schema: db
# Query_time: 0.000899 Lock_time: 0.000000 Rows_sent: 0 Rows_examined: 0
# No InnoDB statistics available for this query
SELECT 3 FROM foo;
# User: user[user] @ [1.2.3.4]
# Thread_id: 4 Schema: db
# Query_time: 0.000899 Lock_time: 0.000000 Rows_sent: 0 Rows_examined: 0
# No InnoDB statistics available for this query
SELECT 4 FROM foo;
# User: user[user] @ [1.2.3.4]
# Thread_id: 5 Schema: db
# Query_time: 0.000899 Lock_time: 0.000000 Rows_sent: 0 Rows_examined: 0
# No InnoDB statistics available for this query
SELECT 5 FROM foo;
# User: user[user] @ [1.2.3.4]
# Thread_id: 6 Schema: db
# Query_time: 0.000899 Lock_time: 0.000000 Rows_sent: 0 Rows_examined: 0
# No InnoDB statistics available for this query
SELECT 6 FROM foo;
# User: user[user] @ [1.2.3.4]
# Thread_id: 7 Schema: db
# Query_time: 0.000899 Lock_time: 0.000000 Rows_sent: 0 Rows_examined: 0
# No InnoDB statistics available for this query
SELECT 7 FROM foo;
# User: user[user] @ [1.2.3.4]
# Thread_id: 8 Schema: db
# Query_time: 0.000899 Lock_time: 0.000000 Rows_sent: 0 Rows_examined: 0
# No InnoDB statistics available for this query
SELECT 8 FROM foo;
# User: user[user] @ [1.2.3.4]
# Thread_id: 9 Schema: db
# Query_time: 0.000899 Lock_time: 0.000000 Rows_sent: 0 Rows_examined: 0
# No InnoDB statistics available for this query
SELECT 9 FROM foo;
# User: user[user] @ [1.2.3.4]
# Thread_id: 10 Schema: db
# Query_time: 0.000899 Lock_time: 0.000000 Rows_sent: 0 Rows_examined: 0
# No InnoDB statistics available for this query
SELECT 10 FROM foo;
# User: user[user] @ [1.2.3.4]
# Thread_id: 11 Schema: db
# Query_time: 0.000899 Lock_time: 0.000000 Rows_sent: 0 Rows_examined: 0
# No InnoDB statistics available for this query
SELECT 11 FROM foo;
# User: user[user] @ [1.2.3.4]
# Thread_id: 12 Schema: db
# Query_time: 0.000899 Lock_time: 0.000000 Rows_sent: 0 Rows_examined: 0
# No InnoDB statistics available for this query
SELECT 12 FROM foo;
# User: user[user] @ [1.2.3.4]
# Thread_id: 13 Schema: db
# Query_time: 0.000899 Lock_time: 0.000000 Rows_sent: 0 Rows_examined: 0
# No InnoDB statistics available for this query
SELECT 13 FROM foo;
# User: user[user] @ [1.2.3.4]
# Thread_id: 14 Schema: db
