  #ts device    rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 {41}       0.0     0.0     0.0     0%    0.0     0.0  7789.4    15.9   120.8     0%    0.1     0.4   7%      3  7789.4    0.0   0.4
  2.0 {41}       0.0     0.0     0.0     0%    0.0     0.0  8473.2    15.9   131.2     0%    0.1     0.3   7%      0  8473.2    0.0   0.3
  3.0 {41}    8272.4    15.9   128.6     1%    0.0     0.2  4179.1    15.9    64.8     0%    0.0     0.3   7%      3 12451.5    0.0   0.2
  4.0 {41}   17777.7    16.0   277.1     1%    0.1     0.1    43.9     2.7     0.1    51%    0.0     0.0   6%      2 17821.6    0.0   0.1
  5.0 {41}   18300.9    16.0   285.2     1%    0.1     0.1    52.8     2.9     0.2    55%    0.0     0.0   6%      3 18353.8    0.0   0.1
  6.0 {41}   17281.0    16.0   269.3     1%    0.1     0.1     0.0     0.0     0.0     0%    0.0     0.0   6%      3 17281.0    0.0   0.1
  7.0 {41}   17603.8    16.0   274.3     1%    0.1     0.1     0.0     0.0     0.0     0%    0.0     0.0   6%      3 17603.8    0.0   0.1
  8.0 {41}   17619.4    16.0   274.5     1%    0.1     0.1     7.0     5.1     0.0    22%    0.0     0.0   6%      2 17626.4    0.0   0.1
  9.0 {41}   17839.1    16.0   278.0     1%    0.1     0.1    33.9     2.4     0.1    43%    0.0     0.0   6%      3 17873.0    0.0   0.1
 10.0 {41}   17781.0    16.0   277.1     1%    0.1     0.1    14.0     2.9     0.0    53%    0.0     0.0   6%      0 17795.0    0.0   0.1
 11.0 {41}   18684.1    16.0   291.1     1%    0.1     0.1     0.0     0.0     0.0     0%    0.0     0.0   6%      1 18684.1    0.0   0.1
 12.0 {41}   18831.8    16.0   293.4     1%    0.1     0.1     0.0     0.0     0.0     0%    0.0     0.0   6%      1 18831.8    0.0   0.1
 13.0 {41}   18754.0    16.0   292.3     1%    0.1     0.1     7.0     5.1     0.0    22%    0.0     0.0   6%      2 18761.0    0.0   0.1
 14.0 {41}   18092.7    16.0   281.9     1%    0.1     0.1    41.9     2.9     0.1    42%    0.0     0.0   6%      3 18134.6    0.0   0.1
 15.0 {41}   18401.6    16.0   286.8     1%    0.1     0.1     0.0     0.0     0.0     0%    0.0     0.0   6%      2 18401.6    0.0   0.1
 16.0 {41}   18064.0    16.0   281.5     1%    0.1     0.1     0.0     0.0     0.0     0%    0.0     0.0   6%      3 18064.0    0.0   0.1
 17.1 {41}   16559.3    16.0   258.1     1%    0.1     0.2     0.0     0.0     0.0     0%    0.0     0.0   6%      1 16559.3    0.0   0.2
 18.1 {41}   16931.6    16.0   263.8     1%    0.1     0.2    60.8     3.0     0.2    55%    0.0     0.0   6%      2 16992.4    0.0   0.2
